pressure_ratio,TIT_K,feasible,fuel_kg_min,air_kg_s,hole_radius_scale,hole_area_mm2,nozzle_radius_mm
1.019,869.1021633842861,False,2.015261385361191,1.9181866422109324,inf,inf,102.45196301913276
1.019,875.8932762259248,False,1.995978646200023,1.8789742598774783,inf,inf,101.58077996471792
1.019,882.6843890675634,False,1.9776274133657301,1.8414732977496437,inf,inf,100.74080152152688
1.019,889.475501909202,False,1.9601468802443436,1.8055730230664324,inf,inf,99.9302839276842
1.019,896.2666147508407,False,1.943481392676491,1.7711720705219767,inf,inf,99.1476149588905
1.019,903.0577275924793,False,1.9275799149686468,1.7381774718322849,inf,inf,98.39130151125298
1.019,909.848840434118,False,1.9123955609548808,1.7065038035065732,inf,inf,97.65995858375291
1.019,916.6399532757566,False,1.8978851810473347,1.676072436358313,inf,inf,96.95229947785386
1.019,923.4310661173952,False,1.8840089976299206,1.6468108728626647,inf,inf,96.26712705870803
1.019,930.222178959034,False,1.8707302823186367,1.6186521605924704,inf,inf,95.6033259448482
1.019,937.0132918006725,False,1.8580150695859725,1.591534371733768,inf,inf,94.95985551216685
1.019,943.8044046423112,False,1.8458319020569411,1.5654001401549635,inf,inf,94.33574361383906
1.019,950.5955174839498,False,1.8341516034653682,1.5401962487396836,inf,inf,93.73008093133977
1.019,957.3866303255885,False,1.822947075827729,1.5158732607284238,inf,inf,93.14201588303943
1.019,964.1777431672272,False,1.8121931178741522,1.492385189689189,inf,inf,92.57075002659869
1.019,970.9688560088657,False,1.801866262181934,1.4696892034753897,inf,inf,92.01553389962355
1.019,977.7599688505044,False,1.7919446288024132,1.4477453581564235,inf,inf,91.47566325013953
1.019,984.551081692143,False,1.782407793465091,1.426516358439144,inf,inf,90.95047561450407
1.019,991.3421945337817,False,1.7732366686927485,1.4059673415528129,inf,inf,90.4393472055891
1.019,998.1333073754204,False,1.7644133963761917,1.3860656819597845,inf,inf,89.94169007859718
1.019,1004.924420217059,False,1.7559212505403667,1.3667808145873757,inf,inf,89.4569495457557
1.019,1011.7155330586976,False,1.747744549191306,1.3480840745631741,inf,inf,88.98460181450794
1.019,1018.5066459003363,False,1.7398685742700868,1.3299485516838148,inf,inf,88.52415182677241
1.019,1025.297758741975,False,1.7322794988568582,1.3123489580604335,inf,inf,88.07513127937739
1.019,1032.0888715836136,False,1.724964320870874,1.295261507569903,inf,inf,87.63709680803996
1.019,1038.8799844252521,False,1.7179108025993406,1.278663805900454,inf,inf,87.20962831915975
1.019,1045.6710972668907,False,1.711107415467224,1.2625347501219755,inf,inf,86.79232745548778
1.019,1052.4622101085295,False,1.7045432895242303,1.2468544368308718,inf,inf,86.38481618313273
1.019,1059.2533229501682,False,1.6982081671870477,1.23160407802837,inf,inf,85.98673548879853
1.019,1066.0444357918068,False,1.6920923608234633,1.2167659239822963,inf,inf,85.59774417721904
1.019,1072.8355486334453,False,1.6861867138114701,1.2023231924052953,inf,inf,85.21751775983685
1.019,1079.6266614750841,False,1.6804825647463477,1.1882600033545196,inf,inf,84.84574742669261
1.019,1086.4177743167227,False,1.674971714501999,1.1745613193200402,inf,inf,84.48213909425094
1.019,1093.2088871583614,False,1.6696463958849561,1.161212890026037,inf,inf,84.1264125226511
1.019,1100.0,False,1.6644992456462677,1.148201201517928,inf,inf,83.77830049649835
1.038,420.8887158361356,False,,,,,
1.038,427.67982867777425,False,,,,,
1.038,434.47094151941286,False,,,,,
1.038,441.2620543610515,False,,,,,
1.038,448.0531672026902,False,,,,,
1.038,454.8442800443288,False,,,,,
1.038,461.63539288596746,False,,,,,
1.038,468.4265057276061,False,,,,,
1.038,475.21761856924473,False,,,,,
1.038,482.0087314108834,False,,,,,
1.038,488.799844252522,False,,,,,
1.038,495.5909570941607,False,,,,,
1.038,502.38206993579934,False,,,,,
1.038,509.17318277743794,False,,,,,
1.038,515.9642956190767,False,,,,,
1.038,522.7554084607152,False,,,,,
1.038,529.5465213023539,False,,,,,
1.038,536.3376341439925,False,,,,,
1.038,543.1287469856312,False,,,,,
1.038,549.9198598272699,False,,,,,
1.038,556.7109726689084,False,,,,,
1.038,563.5020855105471,False,,,,,
1.038,570.2931983521858,False,78.04055405076514,144.84338353422766,inf,inf,806.9888864995722
1.038,577.0843111938244,False,24.13708058831116,43.86476190706064,inf,inf,444.90683247301706
1.038,583.8754240354631,False,14.564678928295265,25.928058969370785,inf,inf,342.68021410558254
1.038,590.6665368771016,False,10.571994641500032,18.443442549688605,inf,inf,289.54592798361296
1.038,597.4576497187403,False,8.382103061605134,14.335898887728264,inf,inf,255.74121500624292
1.038,604.248762560379,False,6.999338633984972,11.74032581506055,inf,inf,231.8564837525898
1.038,611.0398754020176,False,6.0472344189134475,9.951516735265066,inf,inf,213.85215340868024
